Insurer,Procedure/Service,Procedure/Service Description,Original Effective Date,Revised,Procedure CPT/HCPCS Code,Prior authorization
Ohio Medicaid,,,"Jan. 1, 2024",,43644,Prior authorization required
Ohio Medicaid,Bariatric surgery and specific,,"Jan. 1, 2024",,43775,
Ohio Medicaid,obesity-related services,,"Jan. 1, 2024",,"43847 43848 43860 For specific codes requiring prior authorization, please call the number on the member's health plan ID card to refer for mental healt and substance abuse/substance use services. For applied behavior analysis (ABA) therapy, submit via fax or Provider Express",
Ohio Medicaid,Behavioral health services,,"Jan. 1, 2024",,,Many of our benefit plans only provide coverage for behavioral health services through a designated behavioral health network.
Ohio Medicaid,Bone growth stimulator Electronic stimulation or ultrasound to heal fractures,,"Jan. 1, 2024",,20975,Prior authorization required
Ohio Medicaid,Breast reconstruction,,"Jan. 1, 2024",,11971,Prior authorization required
Ohio Medicaid,(non-mastectomy) Reconstruction of the,,"Jan. 1, 2024",,19328,
Ohio Medicaid,breast except,,"Jan. 1, 2024",,19350,
Ohio Medicaid,when following,,"Jan. 1, 2024",,19367,
Ohio Medicaid,mastectomy,,"Jan. 1, 2024",,19371,
Ohio Medicaid,,,"Jan. 1, 2024",,Cinvanti™ (aprepitant),cancer diagnosis.
Ohio Medicaid,,,"Jan. 1, 2024",,J0185,"*Codes J1442, J1447 J2506,"
Ohio Medicaid,,,"Jan. 1, 2024",,Emend® (fosaprepitant),"Q5101, Q5108, Q5110,"
Ohio Medicaid,,,"Jan. 1, 2024",,J1453,"Q5111, Q5120 and Q5122"
Ohio Medicaid,,,"Jan. 1, 2024",,,oncology diagnosis (DX). See
Ohio Medicaid,,,"Jan. 1, 2024",,Injectable colony-stimulating factor drugs that requii,injectable medications
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,Sustol® (granisetron extended release) J1627 authorization: Filgrastim (Neupogen®) J1442* Filgrastim-aafi (Nivestym™) Q5110* Filgrastim-sndz (Zarxio®) Q5101* Pegfilgrastim (Neulasta®) J2506* Pegfilgrastim-apgf (Nyvepria™) Q5122* Pegfilgrastim-bmez (Ziextenzo®) Q5120* Pegfilgrastim-cbqv (UDENYCA™) Q5111* Pegfilgrastim-jmdb (Fulphila™) Q5108* Sargramostim (Leukine®) J2820 Tbo-filgrastim (Granix®) J1447* Trilaciclib (Cosela™) J1448,also require prior authorization for non- section.
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,37227,
Ohio Medicaid,,,"Jan. 1, 2024",,37231,
Ohio Medicaid,,,"Jan. 1, 2024",,authorization,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,70.361,170.35
Ohio Medicaid,,,"Jan. 1, 2024",,70.421,170.369
Ohio Medicaid,,,"Jan. 1, 2024",,70.429,170.428
Ohio Medicaid,,,"Jan. 1, 2024",,70.434,170.433
Ohio Medicaid,,,"Jan. 1, 2024",,70.441,170.439
Ohio Medicaid,,,"Jan. 1, 2024",,70.445,170.444
Ohio Medicaid,,,"Jan. 1, 2024",,70.462,170.461
Ohio Medicaid,,,"Jan. 1, 2024",,70.521,170.469
Ohio Medicaid,,,"Jan. 1, 2024",,70.529,170.528
Ohio Medicaid,,,"Jan. 1, 2024",,70.534,170.533
Ohio Medicaid,,,"Jan. 1, 2024",,70.541,170.539
Ohio Medicaid,,,"Jan. 1, 2024",,70.545,170.544
Ohio Medicaid,,,"Jan. 1, 2024",,70.562,170.561
Ohio Medicaid,,,"Jan. 1, 2024",,70.621,170.569
Ohio Medicaid,,,"Jan. 1, 2024",,70.629,170.628
Ohio Medicaid,,,"Jan. 1, 2024",,70.634,170.633
Ohio Medicaid,,,"Jan. 1, 2024",,70.641,170.639
Ohio Medicaid,,,"Jan. 1, 2024",,70.645,170.644
Ohio Medicaid,,,"Jan. 1, 2024",,70.662,170.661
Ohio Medicaid,,,"Jan. 1, 2024",,70.721,170.669
Ohio Medicaid,,,"Jan. 1, 2024",,70.729,170.728
Ohio Medicaid,,,"Jan. 1, 2024",,70.734,170.733
Ohio Medicaid,,,"Jan. 1, 2024",,70.741,170.739
Ohio Medicaid,,,"Jan. 1, 2024",,70.745,170.744
Ohio Medicaid,,,"Jan. 1, 2024",,70.762,170.761
Ohio Medicaid,,,"Jan. 1, 2024",,72.3,170.769
Ohio Medicaid,,,"Jan. 1, 2024",,77.2,172.9
Ohio Medicaid,,,"Jan. 1, 2024",,77.79,177.77
Ohio Medicaid,,,"Jan. 1, 2024",,74.8,174.5
Ohio Medicaid,,,"Jan. 1, 2024",,75.023,175.022
Ohio Medicaid,,,"Jan. 1, 2024",,T82.868A,T82.818A
Ohio Medicaid,,,"Jan. 1, 2024",,$91.301A,$81.809A
Ohio Medicaid,,,"Jan. 1, 2024",,M86.052,M86.051
Ohio Medicaid,,,"Jan. 1, 2024",,M86.069,M86.062
Ohio Medicaid,,,"Jan. 1, 2024",,M86.08,M86.079
Ohio Medicaid,,,"Jan. 1, 2024",,M86.151,M86.10
Ohio Medicaid,,,"Jan. 1, 2024",,M86.162,M86.161
Ohio Medicaid,,,"Jan. 1, 2024",,M86.179,M86.172
Ohio Medicaid,,,"Jan. 1, 2024",,M86.50,
Ohio Medicaid,,,"Jan. 1, 2024",,M86.561,
Ohio Medicaid,,,"Jan. 1, 2024",,M86.579,
Ohio Medicaid,,,"Jan. 1, 2024",,M86.651,
Ohio Medicaid,,,"Jan. 1, 2024",,M86.662,
Ohio Medicaid,,,"Jan. 1, 2024",,M86.679,
Ohio Medicaid,,,"Jan. 1, 2024",,M86.8X5,
Ohio Medicaid,,,"Jan. 1, 2024",,M86.8X9,
Ohio Medicaid,,,"Jan. 1, 2024",,L03.116,
Ohio Medicaid,,,"Jan. 1, 2024",,Q27.8,
Ohio Medicaid,,,"Jan. 1, 2024",,$35.512A,
Ohio Medicaid,,,"Jan. 1, 2024",,T82.338A,
Ohio Medicaid,,,"Jan. 1, 2024",,T82.898A 173.81,
Ohio Medicaid,clectroencephalogram (EEG),,"Jan. 1, 2024",,98720,required for outpatient hospital or ambulatory center
Ohio Medicaid,Chemotherapy,,"Jan. 1, 2024",,Injectable,surgical (ASC). Prior authorization is required
Ohio Medicaid,,,"Jan. 1, 2024",,"drugs © Chemotherapy injectable drugs (J9000—J9999), Leucovorin (J0640), Levoleucovorin (J0641, J0642), Lupron Depot (J1950) |e Chemotherapy injectable drugs that have aQcode e Chemotherapy injectable drugs that haven't yet received an assigned code and will be billed under a miscellaneous HCPCS code will require prior authorization. For prior authorization, submit requests online using the Prior","for injectable chemotherapy drugs administered in an outpatient setting, including intravenous, intravesical and intrathecal for a cancer diagnosis."
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,"Authorization and Notification tool on UnitedHealthcare Provider Portal at UHCprovider.com. Select the Prior Authorization and Notification tab on your dashboard. Or, you can call 888-397-8129.",
Ohio Medicaid,Cochlear implants and other auditory implants,,"Jan. 1, 2024",,69710,Prior authorization required
Ohio Medicaid,A medical device within the inner ear with an external portion that helps persons with profound sensorineural deafness,,"Jan. 1, 2024",,L8619,
Ohio Medicaid,",",,"Jan. 1, 2024",,67900,
Ohio Medicaid,Reconstructive,,"Jan. 1, 2024",,67904,
Ohio Medicaid,procedures that treat a medical condition to improve or restore physiologic function,,"Jan. 1, 2024",,67911,
Ohio Medicaid,,,"Jan. 1, 2024",,67916,
Ohio Medicaid,,,"Jan. 1, 2024",,67923,
Ohio Medicaid,,,"Jan. 1, 2024",,67966,
Ohio Medicaid,,,"Jan. 1, 2024",,*will not,
Ohio Medicaid,Durable medical equipment (DME),,"Jan. 1, 2024",,4575,Prior authorization is required
Ohio Medicaid,,,"Jan. 1, 2024",,£0194,only for the DME codes listed with a retail purchase or cumulative rental cost of more than $500.
Ohio Medicaid,,,"Jan. 1, 2024",,£0277,
Ohio Medicaid,,,"Jan. 1, 2024",,E0445,
Ohio Medicaid,,,"Jan. 1, 2024",,Bek,
Ohio Medicaid,,,"Jan. 1, 2024",,£0620,Prosthetics are not DME — see orthotics and prosthetics
Ohio Medicaid,,,"Jan. 1, 2024",,E0641,Some home health care services may qualify but are not subject to the cost threshold — see Inlenito Incellin Seuss.
Ohio Medicaid,,,"Jan. 1, 2024",,E0669,
Ohio Medicaid,,,"Jan. 1, 2024",,E0694,
Ohio Medicaid,,,"Jan. 1, 2024",,E0762,
Ohio Medicaid,,,"Jan. 1, 2024",,£0787,
Ohio Medicaid,,,"Jan. 1, 2024",,E1003,
Ohio Medicaid,,,"Jan. 1, 2024",,E1007,
Ohio Medicaid,,,"Jan. 1, 2024",,E1030,
Ohio Medicaid,,,"Jan. 1, 2024",,E1161,
Ohio Medicaid,,,"Jan. 1, 2024",,E1233,
Ohio Medicaid,,,"Jan. 1, 2024",,E1237,
Ohio Medicaid,,,"Jan. 1, 2024",,E2100,
Ohio Medicaid,,,"Jan. 1, 2024",,E2300,
Ohio Medicaid,,,"Jan. 1, 2024",,E2322,
Ohio Medicaid,,,"Jan. 1, 2024",,E2331,
Ohio Medicaid,,,"Jan. 1, 2024",,E2511,
Ohio Medicaid,,,"Jan. 1, 2024",,E2627,
Ohio Medicaid,,,"Jan. 1, 2024",,E8000,
Ohio Medicaid,,,"Jan. 1, 2024",,K0008,
Ohio Medicaid,,,"Jan. 1, 2024",,K0830,
Ohio Medicaid,,,"Jan. 1, 2024",,K0850,
Ohio Medicaid,,,"Jan. 1, 2024",,K0854,
Ohio Medicaid,,,"Jan. 1, 2024",,K0858,
Ohio Medicaid,,,"Jan. 1, 2024",,54405,
Ohio Medicaid,,,"Jan. 1, 2024",,54416,
Ohio Medicaid,,,"Jan. 1, 2024",,J0275,
Ohio Medicaid,,,"Jan. 1, 2024",,L7900,
Ohio Medicaid,Experimental and investigational (and or linked services),,"Jan. 1, 2024",,33477,Prior authorization required Prior authorization required
Ohio Medicaid,,,"Jan. 1, 2024",,65767,
Ohio Medicaid,,,"Jan. 1, 2024",,A6000,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,$0810,
Ohio Medicaid,,,"Jan. 1, 2024",,$9988,
Ohio Medicaid,Femoroacetabular,,"Jan. 1, 2024",,29914,
Ohio Medicaid,impingement syndrome (FAI),,"Jan. 1, 2024",,,
Ohio Medicaid,Functional endoscopic,,"Jan. 1, 2024",,31240,Prior authorization required
Ohio Medicaid,sinus surgery (FESS),,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,31256,
Ohio Medicaid,,,"Jan. 1, 2024",,31276,
Ohio Medicaid,Genetic and molecular _ testing to include breast cancer (BRCA),,"Jan. 1, 2024",,81162,Prior authorization is
Ohio Medicaid,,,"Jan. 1, 2024",,,"required for genetic and molecular testing performed in an outpatient setting. Health care professionals requesting laboratory testing will be required to complete the prior authorization/notification process, which includes indicating the laboratory and test name. Payment will be authorized for those CPT codes registered with the Genetic eae) fire EemeTr esting prior authorization/notification program for each specified GEMEUS ESE"
Ohio Medicaid,,,"Jan. 1, 2024",,Giles),
Ohio Medicaid,,,"Jan. 1, 2024",,81403,
Ohio Medicaid,,,"Jan. 1, 2024",,81407,
Ohio Medicaid,,,"Jan. 1, 2024",,4442,
Ohio Medicaid,,,"Jan. 1, 2024",,,
Ohio Medicaid,,,"Jan. 1, 2024",,81416,
Ohio Medicaid,,,"Jan. 1, 2024",,81432,
Ohio Medicaid,,,"Jan. 1, 2024",,81437,
Ohio Medicaid,,,"Jan. 1, 2024",,81445,
Ohio Medicaid,,,"Jan. 1, 2024",,81507,81479
Ohio Medicaid,,,"Jan. 1, 2024",,81520,
Ohio Medicaid,,,"Jan. 1, 2024",,81599,
Ohio Medicaid,,,"Jan. 1, 2024",,0006M,
Ohio Medicaid,,,"Jan. 1, 2024",,0023U,
Ohio Medicaid,,,"Jan. 1, 2024",,0087U,
Ohio Medicaid,,,"Jan. 1, 2024",,$3870,Notification/prior authorization is required for BRCA testing before DNA sequencing is
Ohio Medicaid,,,"Jan. 1, 2024",,F64.0,
Ohio Medicaid,,,"Jan. 1, 2024",,F64.9,
Ohio Medicaid,,,"Jan. 1, 2024",,14000,
Ohio Medicaid,,,"Jan. 1, 2024",,15738,
Ohio Medicaid,,,"Jan. 1, 2024",,19303,
Ohio Medicaid,,,"Jan. 1, 2024",,54520,
Ohio Medicaid,,,"Jan. 1, 2024",,55180,
Ohio Medicaid,,,"Jan. 1, 2024",,57110,
Ohio Medicaid,,,"Jan. 1, 2024",,58940,
Ohio Medicaid,Home health care,,"Jan. 1, 2024",,G0156,Prior authorization is required
Ohio Medicaid,,,"Jan. 1, 2024",,G0493,"only in outpatient settings, to include member's home."
Ohio Medicaid,,,"Jan. 1, 2024",,$9122,
Ohio Medicaid,Hysterectomy Injectable medications,,"Jan. 1, 2024",,Prior authorization required,
Ohio Medicaid,,,"Jan. 1, 2024",,58262,
Ohio Medicaid,,,"Jan. 1, 2024",,58275,
Ohio Medicaid,58541,,"Jan. 1, 2024",,58543,58542
Ohio Medicaid,,,"Jan. 1, 2024",,58550,
Ohio Medicaid,,,"Jan. 1, 2024",,58570,
Ohio Medicaid,,,"Jan. 1, 2024",,Prior authorization required,
Ohio Medicaid,,,"Jan. 1, 2024",,J3262,
Ohio Medicaid,,,"Jan. 1, 2024",,Acthar®,
Ohio Medicaid,,,"Jan. 1, 2024",,J0800 Adakveo®,
Ohio Medicaid,,,"Jan. 1, 2024",,J0791,
Ohio Medicaid,,,"Jan. 1, 2024",,Aduhelm®,
Ohio Medicaid,,,"Jan. 1, 2024",,J0172,
Ohio Medicaid,,,"Jan. 1, 2024",,Aldurazym®,
Ohio Medicaid,,,"Jan. 1, 2024",,J1931,
